date,events_total,active_hours,first_hour,last_hour,night_events,unique_types,params_key_count_mean,file_events,login_attempt,login_successful,unique_paths,path_depth_mean,unique_dir1,unique_dir2,night_fraction,login_success_rate,path_reuse_ratio,anomaly_score,num_flagged_features,top_contributors
2017-07-17,688,18,0,22,36,3,1.0,638,25,25,228,7.130813953488372,1,2,0.0523255813952727,0.99999999996,2.798245614022815,23.337158545110523,4,file_events=638 vs p95=53.2 (11.99x); unique_paths=228 vs p95=28.5 (7.99x); events_total=688 vs p95=151 (4.55x); path_depth_mean=7.13 vs p95=2.54 (2.81x)
2017-07-28,325,13,1,22,12,5,1.0,287,18,18,264,6.073846153846154,1,2,0.0369230769229633,0.9999999999444444,1.0871212121170943,15.184427553668582,4,unique_paths=264 vs p95=28.5 (9.25x); file_events=287 vs p95=53.2 (5.39x); path_depth_mean=6.07 vs p95=2.54 (2.39x); events_total=325 vs p95=151 (2.15x)
2017-08-24,156,18,0,22,20,3,1.0,106,25,25,70,3.83974358974359,1,1,0.1282051282043063,0.99999999996,1.5142857142640815,2.9892609052120807,4,unique_paths=70 vs p95=28.5 (2.45x); file_events=106 vs p95=53.2 (1.99x); path_depth_mean=3.84 vs p95=2.54 (1.51x); events_total=156 vs p95=151 (1.03x)
2017-08-01,60,15,0,23,24,3,1.0,6,27,27,6,0.2,3,3,0.3999999999933333,0.999999999962963,0.9999999998333332,1.9999999969999998,1,unique_dir1=3 vs p95=1 (3.00x)
2017-07-15,156,24,0,23,36,3,1.0,32,62,62,3,0.7371794871794872,1,2,0.2307692307677515,0.999999999983871,10.66666666311111,0.8483231297461352,6,login_attempt=62 vs p95=48 (1.29x); login_successful=62 vs p95=48 (1.29x); active_hours=24 vs p95=20 (1.20x); path_reuse_ratio=10.7 vs p95=10.3 (1.03x); events_total=156 vs p95=151 (1.03x)
2017-09-18,16,5,0,6,14,2,1.0,0,8,8,0,0.0,0,0,0.8749999999453125,0.999999999875,0.0,0.7030871205225131,1,night_fraction=0.875 vs p95=0.514 (1.70x)
2017-07-08,150,19,0,23,41,3,1.0,48,51,51,3,1.1733333333333331,1,2,0.2733333333315111,0.9999999999803922,15.999999994666666,0.6758885286935422,4,path_reuse_ratio=16 vs p95=10.3 (1.55x); login_attempt=51 vs p95=48 (1.06x); login_successful=51 vs p95=48 (1.06x); login_success_rate=1 vs p95=1 (1.00x)
2017-08-08,67,14,1,23,12,8,1.1194029850746268,5,18,18,11,1.82089552238806,1,1,0.1791044776092671,0.9999999999444444,0.4545454545041322,0.5999999996800001,1,unique_types=8 vs p95=5 (1.60x)
2017-07-20,116,12,1,20,12,3,1.0,70,23,23,9,3.1293103448275863,1,2,0.1034482758611771,0.9999999999565218,7.77777777691358,0.5495671844264365,2,file_events=70 vs p95=53.2 (1.32x); path_depth_mean=3.13 vs p95=2.54 (1.23x)
2017-10-02,77,13,9,23,0,3,1.0,31,23,23,2,2.0259740259740258,1,1,0.0,0.9999999999565218,15.49999999225,0.5024232629319152,1,path_reuse_ratio=15.5 vs p95=10.3 (1.50x)
